,Übersetzung,3.P.Sg.Präsens(er),3.P.Sg.Präteritum(er),PartizipPerfekt
backen,peči,bäckt,buk,hat gebacken
befehlen,ukazati,befiehlt,befahl,hat befohlen
beginnen,začeti,beginnt,begann,hat begonnen
beißen,gristi,beißt,biß,hat gebissen
biegen,zaviti,biegt,bog,hat gebogen
bieten,nuditi,bietet,bot,hat geboten
binden,zvezati,bindet,band,hat gebunden
bitten,prositi,bittet,bat,hat gebeten
blasen,pihati,bläst,blies,hat geblasen
bleiben,ostati,bleibt,blieb,ist geblieben
brechen,lomiti,bricht,brach,hat gebrochen
brennen,goreti,brennt,brannte,hat gebrannt
bringen,prinesti,bringt,brachte,hat gebracht
denken,misliti,denkt,dachte,hat gedacht
dringen,prodirati,dringt,drang,hat gedrungen
dürfen,smeti,darf,durfte,hat gedurft
empfehlen,priporočati,empfiehlt,empfahl,hat empfohlen
erschrecken,prestrašiti,erschrickt,erschrak,ist erschrocken
essen,jesti,isst,aß,hat gegessen
fahren,peljati se,fährt,fuhr,ist gefahren
fallen,pasti,fällt,fiel,ist gefallen
fangen,loviti,fängt,fing,hat gefangen
finden,najti,findet,fand,hat gefunden
fliegen,leteti,fliegt,flog,ist geflogen
fliehen,bežati,flieht,floh,ist geflohen
fressen,žreti,frisst,fraß,hat gefressen
frieren,zmrzovati,friert,fror,hat gefroren
geben,dati,gibt,gab,hat gegeben
gehen,iti,geht,ging,ist gegangen
gelingen,Posrečiti se,gelingt,gelang,ist gelungen
gelten,veljati,gilt,galt,hat gegolten
genießen,uživati,genießt,genoss,hat genossen
geschehen,zgoditi se,esgeschieht,esgeschah,ist geschehen
gewinnen,dobiti/zmagati,gewinnt,gewann,hat gewonnen
gießen,liti/zalivati,gießt,goss,hat gegossen
graben,kopati,gräbt,grub,hat gegraben
greifen,zgrabiti,greift,griff,hat gegriffen
haben,imeti,hat,hatte,hat gehabt
halten,držati,hält,hielt,hat gehalten
hängen,viseti,hängt,hing,hat gehangen
hängen,obesiti,hängt,hängte,hat gehängt
heben,dvigniti,hebt,hob,hat gehoben
heißen,imenovati se,heißt,hieß,hat geheißen
helfen,pomagati,hilft,half,hat geholfen
kennen,poznati,kennt,kannte,hat gekannt
klingen,zveneti,klingt,klang,hat geklungen
kommen,priti,kommt,kam,ist gekommen
können,moči/znati,kann,konnte,hat gekonnt
(ein)laden,vabiti/nalagati,lädtein,ludein,hat eingeladen
lassen,pustiti,lässt,ließ,hat gelassen
laufen,teči,läuft,lief,ist gelaufen
leiden,trpeti,leidet,litt,hat gelitten
leihen,posoditi,leiht,lieh,hat geliehen
lesen,brati,liest,las,hat gelesen
liegen,ležati,liegt,lag,hat gelegen
lügen,lagati,lügt,log,hat gelogen
messen,meriti,misst,maß,hat gemessen
mögen,marati,mag,mochte,hat gemocht
müssen,morati,muss,musste,hat gemusst
nehmen,vzeti,nimmt,nahm,hat genommen
nennen,imenovati,nennt,nannte,hat genannt
pfeifen,žvižgati,pfeift,pfiff,hat gepfiffen
raten,svetovati,rät,riet,hat geraten
reißen,trgati,reißt,riss,hat gerissen
reiten,jahati,reitet,ritt,ist geritten
rennen,teči/dirkati,rennt,rannte,ist gerannt
riechen,dišati/vonjati,riecht,roch,hat gerochen
rufen,klicati,ruft,rief,hat gerufen
schaffen,ustvarjati,schafft,schuf,hat geschaffen
scheiden,ločiti,scheidet,schied,hat geschieden
scheinen,sijati/zdetise,scheint,schien,hat geschienen
schieben,potiskati/riniti,schiebt,schob,hat geschoben
schießen,streljati,schießt,schoss,hat geschossen
schlafen,spati,schläft,schlief,hat geschlafen
schlagen,tepsti/udariti,schlägt,schlug,hat geschlagen
schließen,zapreti,schließt,schloss,hat geschlossen
schneiden,rezati,schneidet,schnitt,hat geschnitten
schreiben,pisati,schreibt,schrieb,hat geschrieben
schreien,kričati,schreit,schrie,hat geschrien
schweigen,molčati,schweigt,schwieg,hat geschwiegen
schwimmen,plavati,schwimmt,schwamm,ist geschwommen
sehen,videti,sieht,sah,hat gesehen
sein,biti,ist,war,ist gewesen
senden,pošiljati/oddajati,sendet,sandte,hat gesandt
singen,peti,singt,sang,hat gesungen
sinken,potopiti se,sinkt,sank,ist gesunken
sinnen,razmišljati,sinnt,sann,hat gesonnen
sitzen,sedeti,sitzt,saß,hat gesessen
sollen,morati(najbi),soll,sollte,hat gesollt
sprechen,govoriti,spricht,sprach,hat gesprochen
springen,skočiti,springt,sprang,ist gesprungen
stehen,stati,steht,stand,hat gestanden
stehlen,krasti,stiehlt,stahl,hat gestohlen
steigen,vzpenjati/vstopiti,steigt,stieg,ist gestiegen
sterben,umreti,stirbt,starb,ist gestorben
stinken,smrdeti,stinkt,stank,hat gestunken
streiten,prepirati se,streitet,stritt,hat gestritten
tragen,nositi,trägt,trug,hat getragen
treffen,srečati/zadeti,trifft,traf,hat getroffen
treten,stopiti,trittt,trat,ist getreten
trinken,piti,trinkt,trank,hat getrunken
trügen,goljufati/slepiti,trügt,trog,hat getrogen
tun,storiti,tut,tat,hat getan
verderben,(po)kvariti,verdirbt,verdarb,ist /hat verdorben
vergessen,pozabiti,vergisst,vergaß,hat vergessen
verlieren,izgubiti,verliert,verlor,hat verloren
verzeihen,odpustiti,verzeiht,verzieh,hat verziehen
wachsen,rasti,wächst,wuchs,ist gewachsen
waschen,prati/umivati,wäscht,wusch,hat gewaschen
weisen,kazati,weist,wies,hat gewiesen
wenden,obrniti,wendet,wandte,hat gewandt
werden,postati,wird,wurde,ist geworden
werfen,vreči,wirft,warf,hat geworfen
wiegen,tehtati,wiegt,wog,hat gewogen
wissen,vedeti,weiß,wusste,hat gewusst
wollen,hoteti,will,wollte,hat gewollt
ziehen,vleči,zieht,zog,hat gezogen
zwingen,siliti,zwingt,zwang,hat gezwungen
